maker	keyword	brand	series	collaboration	priority
dynabook	cz/ma	Dynabook	CZ/MA		300
dynabook	portégé	Dynabook	Portégé		250
dynabook	portege	Dynabook	Portégé		250
dynabook	tecra	Dynabook	Tecra		250
dynabook	satellite	Dynabook	Satellite		250
dynabook	kira	Dynabook	KIRA		250
dynabook	gシリーズ	Dynabook	G Series		200
dynabook	mシリーズ	Dynabook	M Series		200
dynabook	pシリーズ	Dynabook	P Series		200
dynabook	rシリーズ	Dynabook	R Series		200
dynabook	xシリーズ	Dynabook	X Series		200
dynabook	gz	Dynabook	GZ		100
dynabook	mz	Dynabook	MZ		100
dynabook	pz	Dynabook	PZ		100
dynabook	az	Dynabook	AZ		100
dynabook	cz	Dynabook	CZ		100
dynabook	rz	Dynabook	RZ		100
dynabook	xz	Dynabook	XZ		100
dynabook	xd/za	Dynabook	XD/ZA		300
dynabook	kz20/a	Dynabook	KZ20/A		300
dynabook	kz20/y	Dynabook	KZ20/Y		300
hp	elitebook	HP	EliteBook		100
hp	elitedesk	HP	EliteDesk		100
hp	eliteone	HP	EliteOne		100
hp	pro	HP	Pro		100
hp	probook	HP	ProBook		100
hp	prodesk	HP	ProDesk		100
hp	zbook	HP	ZBook		100
hp	z	HP	Z		100
hp	omen	HP	OMEN		100
hp	victus	HP	Victus		100
hp	envy	HP	ENVY		100
hp	spectre	HP	Spectre		100
hp	pavilion	HP	Pavilion		100
hp	dragonfly	HP	Dragonfly		100
hp	all-in-one	HP	All-in-One		100
hp	hp	HP	HP		100
hp	omen	HP	OMEN Gaming		200
hp	omen	HP	OMEN by HP		200
hp	omen	HP	OMEN PC		200
hp	omen	HP	オーメン		200
hp	hp victus	HP	Victus		200
hp	hp victus	HP	VICTUS		200
hp	hp victus	HP	Victus by HP		200
hp	hp victus	HP	HP VICTUS		200
hp	hp victus	HP	ビクタス		200
hp	hp	HP	hp		200
hp	hp	HP	HP Inc.		200
hp	hp	HP	HP Inc		200
hp	hp	HP	Hewlett-Packard		200
hp	hp	HP	Hewlett Packard		200
hp	hp	HP	日本HP		200
hp	hp	HP	日本ヒューレット・パッカード		200
hp	hp	HP	ヒューレット・パッカード		200
